timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260315160549494311,248,219,49,221
20260315160550492529,208,219,41,221
20260315160551497244,202,219,40,221
20260315160552513845,202,219,40,221
20260315160553501812,203,219,40,221
20260315160554504690,202,219,40,221
20260315160555504437,202,219,40,221
20260315160556506495,202,219,40,221
20260315160557506489,202,219,40,221
20260315160558512690,203,219,40,221
20260315160559511826,203,219,40,221
20260315160600518418,202,219,40,222
20260315160601535907,203,219,40,222
20260315160602518750,202,219,40,222
20260315160603516936,202,219,40,222
20260315160604515622,202,219,40,222
20260315160605517371,202,219,40,222
20260315160606520712,202,219,40,222
20260315160607519010,203,219,40,222
20260315160608521082,203,219,40,222
20260315160609522804,203,219,40,222
20260315160610525202,275,218,55,222
20260315160611522769,298,218,60,222
20260315160612531904,298,218,60,222
20260315160613523246,298,218,60,222
20260315160614526656,298,218,60,222
20260315160615527879,298,218,60,222
20260315160616528952,298,218,60,222
20260315160617532585,298,218,60,222
20260315160618533024,298,218,60,222
20260315160619552894,298,218,60,222
20260315160620531712,298,218,60,222
20260315160621532195,298,218,60,222
20260315160622533761,298,218,60,222
20260315160623535625,298,218,60,222
20260315160624537993,298,218,60,222
20260315160625536478,299,218,60,222
20260315160626540609,298,218,60,222
20260315160627537443,299,218,60,222
20260315160628545354,299,218,60,222
20260315160629543106,298,218,60,222
20260315160630552738,298,218,60,222
20260315160631545356,298,218,60,222
20260315160632554346,298,218,60,222
20260315160633549157,299,218,60,222
20260315160634574932,299,218,60,222
20260315160635552884,299,218,60,222
20260315160636551889,298,218,60,222
20260315160637556631,298,218,60,222
20260315160638572635,298,218,60,222
20260315160639553677,298,218,60,222
20260315160640560058,299,218,60,222
20260315160641563828,298,218,60,222
20260315160642564887,298,218,60,222
20260315160643569653,298,218,60,222
20260315160644566760,298,218,60,222
20260315160645566316,298,218,60,222
20260315160646570889,298,218,60,222
20260315160647572872,298,218,60,222
20260315160648570595,297,218,60,222
20260315160649601835,298,218,60,222
20260315160650576317,300,218,61,222
20260315160651587550,204,219,40,222
20260315160652574780,203,219,40,222
20260315160653575586,202,219,40,222
20260315160654578717,202,219,40,222
20260315160655597167,202,219,40,222
20260315160656579868,202,219,40,222
20260315160657582531,203,219,40,222
20260315160658584238,203,219,40,222
20260315160659603123,202,219,40,222
20260315160700592042,202,218,40,222
20260315160701588564,202,219,40,222
20260315160702589798,202,219,40,222
20260315160703593040,202,219,40,222
20260315160704615823,203,219,40,222
20260315160705591117,203,219,40,222
20260315160706593942,202,219,40,222
20260315160707594334,202,219,40,222
20260315160708595359,202,219,40,222
20260315160709598847,203,219,40,223
