timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260315160549505956,474,219,99,430
20260315160550520886,423,219,88,430
20260315160551508052,380,219,79,430
20260315160552518344,380,219,79,430
20260315160553510550,396,219,82,430
20260315160554515600,382,219,79,430
20260315160555513992,379,219,78,430
20260315160556515654,380,219,79,430
20260315160557517940,379,219,78,430
20260315160558535014,381,219,79,430
20260315160559518734,397,219,82,430
20260315160600521359,380,219,79,430
20260315160601530856,380,219,79,430
20260315160602525734,380,219,79,430
20260315160603523388,380,219,79,431
20260315160604521636,380,219,79,431
20260315160605522707,398,219,83,431
20260315160606530513,388,219,80,431
20260315160607524623,383,219,79,431
20260315160608525366,379,219,78,431
20260315160609531908,379,219,78,431
20260315160610530032,497,219,104,431
20260315160611525976,633,218,133,431
20260315160612543669,622,218,131,431
20260315160613526251,619,218,130,431
20260315160614529215,619,218,130,431
20260315160615531108,621,218,131,431
20260315160616529878,622,218,131,431
20260315160617537927,639,218,135,431
20260315160618534416,625,218,132,431
20260315160619536341,622,218,131,431
20260315160620533160,623,218,131,431
20260315160621530998,622,218,131,431
20260315160622532586,623,218,131,431
20260315160623537199,639,218,135,431
20260315160624536818,627,218,132,431
20260315160625535376,625,218,131,431
20260315160626543016,625,218,131,431
20260315160627546604,625,218,131,431
20260315160628544333,625,218,131,431
20260315160629550472,641,218,135,431
20260315160630550504,633,218,133,431
20260315160631565761,625,218,132,431
20260315160632547849,626,218,132,431
20260315160633551349,625,218,132,432
20260315160634547191,628,218,132,432
20260315160635551809,644,218,136,432
20260315160636553016,632,218,133,432
20260315160637555519,626,218,132,432
20260315160638569759,626,218,132,432
20260315160639554788,629,218,133,432
20260315160640558906,629,218,133,432
20260315160641562706,647,218,136,432
20260315160642563495,633,218,133,432
20260315160643566408,630,218,133,432
20260315160644565763,630,218,133,432
20260315160645567451,630,218,133,432
20260315160646572151,630,218,133,432
20260315160647574191,646,218,138,432
20260315160648572986,636,218,134,432
20260315160649604622,634,218,134,432
20260315160650578666,634,218,134,432
20260315160651578682,404,219,84,432
20260315160652580915,389,219,81,432
20260315160653580419,404,219,84,432
20260315160654578635,397,219,82,432
20260315160655582600,389,219,80,432
20260315160656600899,389,219,80,432
20260315160657599933,389,219,80,432
20260315160658599247,389,219,81,432
20260315160659587840,407,219,84,432
20260315160700588112,395,218,82,432
20260315160701586781,389,219,81,432
20260315160702593238,389,219,81,432
20260315160703591890,389,219,80,432
20260315160704591573,389,219,80,432
20260315160705593410,406,219,84,432
20260315160706595203,392,219,81,433
20260315160707595581,389,219,80,433
20260315160708596457,389,219,80,433
20260315160709597630,390,219,81,433
