timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260315160549517577,648,219,137,510
20260315160550531594,490,219,101,0
20260315160551517795,441,219,91,0
20260315160552522716,447,219,93,0
20260315160553520822,436,219,90,0
20260315160554522973,437,219,91,0
20260315160555521633,439,219,91,0
20260315160556524271,438,219,91,0
20260315160557525141,442,219,92,0
20260315160558548061,447,219,93,0
20260315160559529714,438,219,91,0
20260315160600544949,441,219,91,0
20260315160601546352,436,219,90,0
20260315160602532563,438,219,91,0
20260315160603531718,443,219,92,0
20260315160604529845,446,219,93,0
20260315160605529246,438,219,91,0
20260315160606535172,440,219,91,0
20260315160607533301,439,219,91,0
20260315160608533543,442,219,92,0
20260315160609532530,442,219,92,0
20260315160610532028,708,218,148,0
20260315160611533288,1029,218,218,0
20260315160612553299,1031,218,219,0
20260315160613534575,1033,218,219,0
20260315160614536520,1033,218,219,0
20260315160615540891,1037,218,220,0
20260315160616536561,1042,218,221,0
20260315160617542536,1035,218,220,0
20260315160618539140,1036,218,220,1
20260315160619558518,1034,218,220,1
20260315160620538266,1035,218,220,1
20260315160621536465,1038,218,220,1
20260315160622538833,1041,218,221,1
20260315160623541863,1035,218,220,1
20260315160624542080,1036,217,220,1
20260315160625541392,1035,218,220,1
20260315160626550311,1036,218,220,1
20260315160627550587,1041,218,221,1
20260315160628548307,1043,218,221,1
20260315160629547687,1036,218,220,1
20260315160630545684,1036,218,220,1
20260315160631555731,1036,218,220,1
20260315160632550321,1039,218,220,1
20260315160633550335,1045,218,222,1
20260315160634574099,1047,218,222,2
20260315160635550865,1039,218,220,2
20260315160636554327,1038,218,220,2
20260315160637554408,1037,218,220,2
20260315160638571079,1037,218,220,2
20260315160639552738,1039,218,221,2
20260315160640561155,1046,218,222,2
20260315160641561751,1038,218,220,2
20260315160642568864,1038,218,221,2
20260315160643578797,1039,218,221,2
20260315160644564678,1040,218,221,2
20260315160645568593,1043,218,221,2
20260315160646573748,1047,218,222,2
20260315160647584540,1038,218,221,2
20260315160648571980,1040,218,221,2
20260315160649594115,1041,218,221,2
20260315160650577540,1042,218,221,2
20260315160651584227,499,219,102,3
20260315160652582084,451,219,94,3
20260315160653581539,445,219,92,3
20260315160654582120,445,219,92,3
20260315160655588887,445,219,92,3
20260315160656582431,444,219,92,3
20260315160657584413,447,219,93,3
20260315160658585526,451,219,94,3
20260315160659585875,443,219,92,3
20260315160700590172,445,218,92,3
20260315160701589836,444,219,92,3
20260315160702588719,446,219,92,3
20260315160703589740,450,219,93,3
20260315160704614786,452,219,94,3
20260315160705592288,442,219,92,3
20260315160706592932,443,219,92,3
20260315160707596762,443,219,92,3
20260315160708597782,444,219,92,3
20260315160709599945,446,219,92,3
20260315160710600369,454,219,94,3
