timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312201900427147,508,219,105,1
20260312201901425958,414,220,82,0
20260312201902607329,461,219,94,0
20260312201903847850,461,219,94,0
20260312201904846202,467,219,95,0
20260312201905845832,471,219,96,0
20260312201906849190,470,219,96,0
20260312201907847866,470,219,96,0
20260312201908851237,470,219,96,0
20260312201909852513,470,219,96,0
20260312201910975960,470,219,96,0
20260312201911985663,470,219,96,0
20260312201912979268,470,219,96,0
20260312201913981633,473,219,97,0
20260312201914986202,473,219,96,0
