timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260312194845461314,549,219,114,0
20260312194846461649,601,219,126,0
20260312194847462021,594,219,124,0
20260312194848595656,593,219,124,0
20260312194849605746,594,219,124,0
20260312194850597548,593,219,124,0
20260312194851600380,605,219,127,0
20260312194852603784,596,219,125,0
20260312194853602844,596,219,125,0
20260312194854604623,596,219,125,0
20260312194855604509,598,219,125,1
20260312194856606007,598,219,125,1
20260312194857609471,607,219,127,1
20260312194858606880,599,219,125,1
20260312194859608817,597,219,125,1
20260312194900612240,597,219,125,1
20260312194901699529,597,219,125,1
20260312194902700436,597,219,125,1
20260312194903700957,606,219,127,1
20260312194904701984,599,219,125,1
20260312194905710990,604,219,127,1
